date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:14:44	324/324	---M-Z	200	added ('OK')	text/plain	date:Mon,%2002%20Oct%202023%2020:49:13%20GMT	https://www.tori.pe/robots.txt		(from )
21:14:45	317514/317514	---M-Z	200	added ('OK')	text/html	etag:W/%2244b2af3d1576487549426207d2590fa3%22	https://www.tori.pe/	C:/Mis%20lugares%20Web/proyectopolleria/www.tori.pe/index.html	(from )
21:14:45	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Tue,%2003%20Oct%202023%2002:14:46%20GMT	http://static1.squarespace.com/static/604f63fbcbfeea1a501c8b6b/t/6254b70214a62e14f1ea019a/1649719042231/Logo+Tori+Polleria.png?format=1500w	C:/Mis%20lugares%20Web/proyectopolleria/static1.squarespace.com/static/604f63fbcbfeea1a501c8b6b/t/6254b70214a62e14f1ea019a/1649719042231/Logo+Tori+Polleria.026f7.delayed	(from https://www.tori.pe/)
21:14:48	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Mis%20lugares%20Web/proyectopolleria/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.tori.pe/)
21:14:48	17146/17146	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Oct%202023%2002:14:48%20GMT	http://use.typekit.net/ik/R6ZXdz520crAnI4tzh1V_iShOyDS1_oJojvLHaAnRM9fe032fFHN4UJLFRbh52jhWDj3FejhwhZKjh4cZAmywAIuw2BR5eJhjyn3MKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdP37O1szSc83dhUCZW4TjPoDSWmyScmDSeBRZPoRdhXCjAFu-WsoShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80Zko0ZWbCjWw0dA9CdeNRjAUGdaFXOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCieNk-Po3ZPUXda4TSeNCdemk-AI0SaBujW48Sagyjh90jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80Zko0ZWbCiaiaOcBDOcu8OYiaikoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYiaikoXda4TO1g8OYiaikoXda4TSeNCdemk-AI0SaBujW48Sagyjh90jhNlJyiyd1sTSWm8OANC-WZ8OAFzdcs8d1F8ZfJbieyudcs8ScyziWF8OWgkdkG4fOuAIMMjgfMfH6qJz8jbMg6YJMJ7f6KbaMJbMs6IJMHbMpOS_GJe.js	C:/Mis%20lugares%20Web/proyectopolleria/use.typekit.net/ik/R6ZXdz520crAnI4tzh1V_iShOyDS1_oJojvLHaAnRM9fe032fFHN4UJLFRbh52jhWDj3FejhwhZKjh4cZAmywAIuw2BR5eJhjyn3MKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBuj	(from https://www.tori.pe/)
21:14:51	48126/48126	---M-Z	200	added ('OK')	text/javascript	etag:%2227db882aa7b961789df70da3fbe4ebe2%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-8e74999511a613cc46c15-min.es-419.js	C:/Mis%20lugares%20Web/proyectopolleria/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-8e74999511a613cc46c15-min.es-419.js	(from https://www.tori.pe/)
21:14:53	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Mis%20lugares%20Web/proyectopolleria/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.tori.pe/)
21:14:55	124578/124578	---M-Z	200	added ('OK')	text/javascript	etag:%225aebb4b382bfbcb5942efa76b4761a49%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-ede72e01bfb324658a0ac-min.en-US.js	C:/Mis%20lugares%20Web/proyectopolleria/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-ede72e01bfb324658a0ac-min.en-US.js	(from https://www.tori.pe/)
21:14:57	106583/106583	---M-Z	200	added ('OK')	text/javascript	etag:%222d93badd4f0413caf89a111c2444b236%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e6571e37e348c529b80ee-min.es-419.js	C:/Mis%20lugares%20Web/proyectopolleria/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e6571e37e348c529b80ee-min.es-419.js	(from https://www.tori.pe/)
21:15:06	195982/195982	---M--	200	added ('OK')	image/png	etag:CKfX5KqSjfcCEAE=	https://images.squarespace-cdn.com/content/604f63fbcbfeea1a501c8b6b/57044e5b-7611-4ce4-9f4b-880f4ec0595f/Logo+Tori+Polleria.png?format=1500w&content-type=image%2Fpng	C:/Mis%20lugares%20Web/proyectopolleria/images.squarespace-cdn.com/content/604f63fbcbfeea1a501c8b6b/57044e5b-7611-4ce4-9f4b-880f4ec0595f/Logo+Tori+Polleria2acd.png	(from https://www.tori.pe/)
21:15:08	245974/245974	---M-Z	200	added ('OK')	text/javascript	etag:%228f2fa5de7aa70e32cc79e7b1bb66d614%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-41b143070207b0ecd5644-min.es-419.js	C:/Mis%20lugares%20Web/proyectopolleria/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-41b143070207b0ecd5644-min.es-419.js	(from https://www.tori.pe/)
21:15:12	1370877/1370877	---M-Z	200	added ('OK')	text/javascript	etag:%227b81c61d46bfdd5a41999a78d886e91f%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-adcac7a6b1ae015ef4be2-min.es-419.js	C:/Mis%20lugares%20Web/proyectopolleria/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-adcac7a6b1ae015ef4be2-min.es-419.js	(from https://www.tori.pe/)
21:15:13	18185/18185	---M-Z	200	added ('OK')	text/css	etag:%2277e8138b7c9c64cbe5d0668fe912f39f%22	http://assets.squarespace.com/universal/styles-compressed/commerce-f5a29f34fa3e30d18cdf9-min.es-419.css	C:/Mis%20lugares%20Web/proyectopolleria/assets.squarespace.com/universal/styles-compressed/commerce-f5a29f34fa3e30d18cdf9-min.es-419.css	(from https://www.tori.pe/)
21:15:24	249483/249483	---M-Z	200	added ('OK')	text/javascript	etag:%2292fb8516b65e1c6ac0f77307d5acb496%22	http://assets.squarespace.com/universal/scripts-compressed/performance-f154e9f76b0f1f6d03928-min.es-419.js	C:/Mis%20lugares%20Web/proyectopolleria/assets.squarespace.com/universal/scripts-compressed/performance-f154e9f76b0f1f6d03928-min.es-419.js	(from https://www.tori.pe/)
